"session","subject.id","round","message.id","game","gameType","decision","team.id","message.en","message","lower.lvl","upper.lvl","salience.payoff.x","salience.label.x","teamThinking","history","subject.id.cum","input","input.lb","input.lbub"
1,1,1,"1.1.1","ASL","X-Y","Y",1,"I would take x because the others will probably also take x... oops, no, I would take y because the others will probably also take y to... oh, I don't know.","Ich würde x nehmen, da die anderen bestimmt auch x nehmen ups ne ich würde y nehmen da die andern bestimmt auc hy nehmen um uns ... ach keine ahnung",0,1,"no","no","none","no history",1,"Team: 1 
Game: ASL 
Decision: Y 
Message: Ich würde x nehmen, da die anderen bestimmt auch x nehmen ups ne ich würde y nehmen da die andern bestimmt auc hy nehmen um uns ... ach keine ahnung","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 1"
1,1,2,"1.1.2","AM2","Pie","§",1,"I would take the white square, as it is the only square that is white and also puts us in a better position.","ich würde das weiße Feld nehmen, da es das einzige Feld ist das weiß ist und uns auch besser stellt",0,0,"H","§","none","(1,ASL,Y)",1,"Team: 1 
Game: AM2 
Decision: § 
Message: ich würde das weiße Feld nehmen, da es das einzige Feld ist das weiß ist und uns auch besser stellt","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 0"
1,1,3,"1.1.3","AML","X-Y","Y",1,"Since we have also improved in round 1, we will do the same here and hope that the others will reciprocate.","Da wir in runde 1 auch uns besser gestellt haben machen wir das hier auch und hoffen das die anderen entgegenkommen",2,2,"H","no","none","(1,ASL,Y), (2,AM2,§)",1,"Team: 1 
Game: AML 
Decision: Y 
Message: Da wir in runde 1 auch uns besser gestellt haben machen wir das hier auch und hoffen das die anderen entgegenkommen","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 2","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 2"
1,1,4,"1.1.4","AM4","Pie","#",1,"This time we won't go with the white one - that would put team 2 at a disadvantage. I would say a decision in which we are better off, but team 2 is better off than with the white decision.","Dieses mal nehmen wir nicht das weiße - da würde team 2 schlechter gestellt sein ich würde sagen entscheidung in der wir besser gestellt sind aber team 2 besser dran ist als mit der weißen entscheidung",0,1,"H","no","pareto dominance arguments","(1,ASL,Y), (2,AM2,§), (3,AML,Y)",1,"Team: 1 
Game: AM4 
Decision: # 
Message: Dieses mal nehmen wir nicht das weiße - da würde team 2 schlechter gestellt sein ich würde sagen entscheidung in der wir besser gestellt sind aber team 2 besser dran ist als mit der weißen entscheidung","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 1"
1,1,5,"1.1.5","ALL","X-Y","Y",1,"We are feeling better again and hope that team 2 will meet us halfway.","wir stellen uns wieder besser und hoffen das uns team 2 entgegenkommt",2,2,"H","no","none","(1,ASL,Y), (2,AM2,§), (3,AML,Y), (4,AM4,#)",1,"Team: 1 
Game: ALL 
Decision: Y 
Message: wir stellen uns wieder besser und hoffen das uns team 2 entgegenkommt","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 2","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 2"
1,1,6,"1.1.6","S2","Pie","§",1,"Very difficult. I would go for $, as both teams have 6 6. However, it's difficult because there is the same age with #. White field is also possible, as it is the only age that is different and not much worse. Taking the white decision.","sehr schwierig. ich würde $ nehmen, da beide teams 6 6 haben allerdings is halt schwierig da es die gleiche alt. noch gibt mit # weißes feld auch möglich da es die einzige alt gibt die sich unterscheidet und nicht soviel schlechter is ne nehmen wird die weiße entscheidung",0,1,"no","§","labels as coordination device","(1,ASL,Y), (2,AM2,§), (3,AML,Y), (4,AM4,#), (5,ALL,Y)",1,"Team: 1 
Game: S2 
Decision: § 
Message: sehr schwierig. ich würde $ nehmen, da beide teams 6 6 haben allerdings is halt schwierig da es die gleiche alt. noch gibt mit # weißes feld auch möglich da es die einzige alt gibt die sich unterscheidet und nicht soviel schlechter is ne nehmen wird die weiße entscheidung","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 1"
1,1,7,"1.1.7","SL","X-Y","X",1,"Let's take x since the alternative is stated above, so I hope team 2 also chooses x.","nehmen wir x da die alternative oben steht daher hoffe ich das team 2 auch x wählt",1,1,"no","X","labels as coordination device","(1,ASL,Y), (2,AM2,§), (3,AML,Y), (4,AM4,#), (5,ALL,Y), (6,S2,§)",1,"Team: 1 
Game: SL 
Decision: X 
Message: nehmen wir x da die alternative oben steht daher hoffe ich das team 2 auch x wählt","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 1","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 1"
1,1,8,"1.1.8","S1","Pie","§",1,"Clearly white field, as it stands out from the others and all decisions give an equal number of coins to both teams.","ganz klar weißes feld, da es sich von den anderen abhebt und alles entscheidungen gleich viele taler geben für beide teams",0,1,"no","§","labels as coordination device","(1,ASL,Y), (2,AM2,§), (3,AML,Y), (4,AM4,#), (5,ALL,Y), (6,S2,§), (7,SL,X)",1,"Team: 1 
Game: S1 
Decision: § 
Message: ganz klar weißes feld, da es sich von den anderen abhebt und alles entscheidungen gleich viele taler geben für beide teams","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 1"
1,10,1,"1.10.1","ASL","X-Y","Y",1,"I think they will propose a larger payout to us because they think we will keep it for ourselves to ensure coordination... however, I can imagine that they have the exact same mindset as I do and will do the opposite... I'll call it Y","Ich denke sie werden uns die größere Auszahlung vorschlagen, da sie denken, dass wir sie für uns behalten werden .das machen die um koordination sicherzustellen... allerdings kann ich mir denken, dass sie genau die gleiche Denkweise wie ich haben und das Umgekehrte machen werden... . Ich sag mal Y",3,3,"H","no","none","no history",10,"Team: 1 
Game: ASL 
Decision: Y 
Message: Ich denke sie werden uns die größere Auszahlung vorschlagen, da sie denken, dass wir sie für uns behalten werden .das machen die um koordination sicherzustellen... allerdings kann ich mir denken, dass sie genau die gleiche Denkweise wie ich haben und das Umgekehrte machen werden... . Ich sag mal Y","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 3","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 3"
1,10,2,"1.10.2","AM2","Pie","$",1,"I think they will act rationally and choose the left option, as the distribution between both teams plays a lesser role here. There is the additional complication for the other team if they want to be generous, that we randomly select the other option from the two with equal payouts. I don't think they will play with the colors.","Ich denke sie werden rational handeln und sich für links entscheiden, da hierdie Verteilung zwischen beiden Teams hier eine geringere Rolle spielt. es gibt ja die zusätzliche Verkomplizierung für das andere Team, wenn sie großzügig sein wollen, dass wir per zufall die andere option aus den 2 mit gleichen auszahlungen auswählen mit den farben werden sie denke ich nicht spiele",1,2,"H","no","payoffs as coordination device","(1,ASL,Y)",10,"Team: 1 
Game: AM2 
Decision: $ 
Message: Ich denke sie werden rational handeln und sich für links entscheiden, da hierdie Verteilung zwischen beiden Teams hier eine geringere Rolle spielt. es gibt ja die zusätzliche Verkomplizierung für das andere Team, wenn sie großzügig sein wollen, dass wir per zufall die andere option aus den 2 mit gleichen auszahlungen auswählen mit den farben werden sie denke ich nicht spiele","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 1","Team: 1 
Game: S2 
Decision: § 
Message: dieselbe idee wie immer. ich hoffe, dass wir dieselbe ideen hatten :) 
Lower bound: 0 
Upper bound: 2"
